timestamp,ax,ay,az,label,subject_id
1781599324128,14116,-5088,-10188,6,A
1781599324129,14180,-4876,-10676,6,A
1781599324129,14172,-4444,-10316,6,A
1781599324130,13828,-3524,-9620,6,A
1781599324130,13504,-2476,-9488,6,A
1781599324131,13568,-1808,-9904,6,A
1781599324131,13496,-1856,-9088,6,A
1781599324131,12836,-908,-8584,6,A
1781599324131,12708,-960,-8724,6,A
1781599324131,12576,-1456,-8616,6,A
1781599324131,12464,-2028,-8176,6,A
1781599324131,12108,-2528,-7972,6,A
1781599324131,11972,-2764,-8320,6,A
1781599324131,11976,-2596,-8588,6,A
1781599324132,12056,-2444,-8536,6,A
1781599324132,12168,-2740,-8224,6,A
1781599324132,12132,-3316,-7848,6,A
1781599324132,12312,-3524,-8768,6,A
1781599324132,12888,-3840,-10384,6,A
1781599324132,13224,-4860,-10972,6,A
1781599324132,13240,-5016,-10360,6,A
1781599324132,13284,-4560,-9520,6,A
1781599324133,12896,-4232,-9040,6,A
1781599324133,12924,-4180,-9968,6,A
1781599324133,13308,-3848,-10968,6,A
1781599324133,13084,-3524,-10232,6,A
1781599324133,12400,-2872,-8688,6,A
1781599324133,12584,-2728,-8600,6,A
1781599324133,12984,-3328,-9056,6,A
1781599324133,12692,-3648,-8728,6,A
1781599324134,12516,-3284,-8832,6,A
1781599324134,12660,-2492,-9568,6,A
1781599324134,12476,-2212,-9064,6,A
1781599324134,12088,-2176,-7952,6,A
1781599324134,12360,-2480,-7964,6,A
1781599324135,12768,-3124,-8760,6,A
1781599324135,12772,-3432,-9088,6,A
1781599324135,12796,-3416,-8752,6,A
1781599324136,12536,-3380,-8476,6,A
1781599324136,12580,-4036,-8996,6,A
1781599324137,12764,-4308,-10140,6,A
1781599324137,13020,-4468,-10532,6,A
1781599324137,31280,7504,-23436,6,A
1781599324138,4328,-1972,-3840,6,A
1781599324138,15452,-2368,-7780,6,A
1781599324138,21332,-10260,-12844,6,A
1781599324138,11408,-3924,-5304,6,A
1781599324139,14592,-4368,-4716,6,A
1781599324139,15232,-5840,-16380,6,A
1781599324139,14960,-6444,-7572,6,A
1781599324139,13020,-1332,2332,6,A
1781599324139,13236,-448,4408,6,A
1781599324139,14760,-1868,1012,6,A
1781599324140,18200,-8484,-14868,6,A
1781599324140,12968,3600,1384,6,A
1781599324140,13300,-1920,64,6,A
1781599324140,15492,-6752,3592,6,A
1781599324140,15204,-5704,712,6,A
1781599324141,14612,-5904,368,6,A
1781599324141,15676,-1780,-3224,6,A
1781599324141,-1244,-15440,5312,6,A
1781599324141,16116,-4568,-480,6,A
1781599324141,15276,-2868,-152,6,A
1781599324141,13216,-3292,1376,6,A
1781599324142,12884,-4980,3440,6,A
1781599324142,13684,-6104,2916,6,A
1781599324142,15200,-8548,136,6,A
1781599324142,14328,-9868,4084,6,A
1781599324142,14304,-9920,4060,6,A
1781599324142,12776,-8152,3592,6,A
1781599324142,12360,-6972,1884,6,A
1781599324143,12980,-7432,5572,6,A
1781599324143,12740,-9216,5428,6,A
1781599324143,11860,-7300,4948,6,A
1781599324143,12808,-8436,4952,6,A
1781599324144,13912,-7668,6208,6,A
1781599324144,13848,-8500,5508,6,A
1781599324144,13128,-6868,4480,6,A
1781599324144,12972,-6588,3628,6,A
1781599324144,13704,-6828,3048,6,A
1781599324145,14248,-6880,3676,6,A
1781599324145,14692,-4924,5424,6,A
1781599324145,15896,-3336,7264,6,A
1781599324145,15388,-7500,4328,6,A
1781599324145,14592,-8124,3928,6,A
1781599324145,14332,-5656,5412,6,A
1781599324145,14160,-4296,5324,6,A
1781599324146,14112,-5000,4324,6,A
1781599324146,14280,-5012,5120,6,A
1781599324146,14096,-4264,4708,6,A
1781599324146,14636,-6156,6324,6,A
1781599324146,15320,-5476,5840,6,A
1781599324147,14304,-4256,4860,6,A
1781599324147,13856,-3792,5352,6,A
1781599324150,13892,-3884,5688,6,A
1781599324172,13732,-3764,5536,6,A
1781599324193,14360,-5560,5384,6,A
1781599324215,14608,-3240,6764,6,A
1781599324236,14496,-3108,6268,6,A
1781599324258,14900,-2376,6492,6,A
1781599324281,14892,-3812,5364,6,A
1781599324302,15736,-4008,5892,6,A
1781599324324,14164,-1524,5828,6,A
1781599324345,14540,-2432,5828,6,A
1781599324367,14868,-2452,5968,6,A
1781599324388,16940,-1236,7380,6,A
1781599324410,14824,-1468,6952,6,A
1781599324431,14972,-2704,4868,6,A
1781599324453,15984,-2996,5912,6,A
