384.0,-169.0,-9.0
384.0,-169.0,-9.0
384.0,-170.0,-14.0
386.0,-165.0,-10.0
388.0,-154.0,-5.0
380.0,-126.0,2.0
380.0,-126.0,2.0
378.0,-120.0,4.0
374.0,-106.0,4.0
367.0,-90.0,4.0
362.0,-87.0,-5.0
362.0,-87.0,-5.0
361.0,-173.0,-51.0
367.0,-211.0,-50.0
361.0,-227.0,-62.0
362.0,-257.0,-61.0
362.0,-257.0,-61.0
363.0,-257.0,-64.0
363.0,-217.0,-63.0
359.0,-209.0,-70.0
357.0,-204.0,-71.0
357.0,-204.0,-71.0
356.0,-200.0,-69.0
354.0,-199.0,-72.0
355.0,-193.0,-71.0
357.0,-191.0,-70.0
357.0,-191.0,-70.0
354.0,-194.0,-69.0
354.0,-195.0,-72.0
352.0,-192.0,-73.0
351.0,-191.0,-74.0
351.0,-191.0,-74.0
347.0,-196.0,-79.0
345.0,-198.0,-84.0
344.0,-206.0,-84.0
340.0,-210.0,-86.0
340.0,-210.0,-86.0
342.0,-220.0,-89.0
339.0,-235.0,-92.0
339.0,-250.0,-92.0
340.0,-256.0,-91.0
340.0,-256.0,-91.0
345.0,-254.0,-89.0
347.0,-249.0,-85.0
349.0,-250.0,-82.0
347.0,-247.0,-84.0
347.0,-247.0,-84.0
349.0,-250.0,-85.0
346.0,-236.0,-82.0
353.0,-234.0,-76.0
352.0,-230.0,-76.0
352.0,-230.0,-76.0
354.0,-230.0,-75.0
356.0,-249.0,-76.0
357.0,-261.0,-74.0
363.0,-253.0,-67.0
363.0,-253.0,-67.0
366.0,-240.0,-64.0
355.0,-270.0,-57.0
312.0,-325.0,-64.0
284.0,-335.0,-105.0
284.0,-335.0,-105.0
285.0,-351.0,-148.0
308.0,-369.0,-139.0
328.0,-347.0,-109.0
332.0,-304.0,-97.0
332.0,-304.0,-97.0
334.0,-243.0,-96.0
344.0,-160.0,-146.0
269.0,-73.0,-175.0
213.0,-119.0,-107.0
213.0,-119.0,-107.0
357.0,-36.0,-215.0
