timestamp,ax,ay,az,label,subject_id
1781598745972,2240,-16176,488,1,A
1781598745972,2212,-16144,524,1,A
1781598745973,2344,-15948,372,1,A
1781598745973,2400,-15876,300,1,A
1781598745974,2392,-16160,380,1,A
1781598745974,2532,-16272,380,1,A
1781598745975,2388,-16132,220,1,A
1781598745976,2536,-16120,100,1,A
1781598745976,2196,-15968,476,1,A
1781598745977,2156,-15956,560,1,A
1781598745978,2204,-16132,460,1,A
1781598745979,2264,-16156,220,1,A
1781598745980,2288,-16160,308,1,A
1781598745980,2108,-16060,436,1,A
1781598745980,2080,-16088,564,1,A
1781598745982,2196,-16012,356,1,A
1781598745983,2252,-16036,264,1,A
1781598745984,2368,-16036,276,1,A
1781598745984,2292,-16024,240,1,A
1781598745985,2292,-16132,100,1,A
1781598745987,2196,-16196,108,1,A
1781598745987,2252,-16008,364,1,A
1781598745988,2348,-16040,300,1,A
1781598745988,2404,-16180,176,1,A
1781598745989,2400,-16148,208,1,A
1781598745989,2276,-16196,424,1,A
1781598745990,2220,-16220,252,1,A
1781598745990,2256,-16328,148,1,A
1781598745991,2324,-16140,264,1,A
1781598745991,2152,-16092,492,1,A
1781598745992,2224,-16108,416,1,A
1781598745992,2396,-16148,224,1,A
1781598745993,2284,-15952,336,1,A
1781598745993,2008,-15860,404,1,A
1781598745994,2300,-16148,288,1,A
1781598745995,2512,-16172,56,1,A
1781598745995,2352,-16044,248,1,A
1781598745996,2200,-16072,376,1,A
1781598745996,2376,-16124,216,1,A
1781598745997,2436,-16168,100,1,A
1781598745997,2292,-16060,208,1,A
1781598745998,2080,-16120,384,1,A
1781598745998,2224,-16184,340,1,A
1781598745999,2144,-16128,324,1,A
1781598745999,2196,-16136,332,1,A
1781598745999,2208,-16020,248,1,A
1781598746000,2280,-16140,240,1,A
1781598746000,2312,-16220,212,1,A
1781598746000,2120,-16068,372,1,A
1781598746002,2204,-15924,352,1,A
1781598746002,2124,-16136,380,1,A
1781598746003,2252,-16172,176,1,A
1781598746004,2428,-16188,160,1,A
1781598746004,2228,-16076,320,1,A
1781598746005,2200,-15860,332,1,A
1781598746005,2120,-16136,440,1,A
1781598746006,2404,-16264,304,1,A
1781598746006,2296,-16100,236,1,A
1781598746007,2064,-16040,328,1,A
1781598746007,2188,-16112,368,1,A
1781598746008,2124,-16056,364,1,A
1781598746010,2320,-16024,424,1,A
1781598746010,2176,-16028,296,1,A
1781598746011,2180,-16152,380,1,A
1781598746011,2264,-16184,332,1,A
1781598746011,2064,-16116,452,1,A
1781598746012,2188,-16100,580,1,A
1781598746012,2276,-16104,260,1,A
1781598746012,2324,-16016,300,1,A
1781598746013,2156,-16168,436,1,A
1781598746013,2168,-16008,356,1,A
1781598746014,1972,-15976,496,1,A
1781598746014,2136,-16312,256,1,A
1781598746015,2524,-16284,16,1,A
1781598746015,2336,-15968,304,1,A
1781598746016,2024,-15944,508,1,A
1781598746016,1964,-16108,568,1,A
1781598746017,2224,-16248,348,1,A
1781598746017,2276,-16264,316,1,A
1781598746018,2112,-16284,368,1,A
1781598746018,2248,-15916,376,1,A
1781598746018,2152,-15904,280,1,A
1781598746019,2136,-16064,420,1,A
1781598746019,2328,-16156,400,1,A
1781598746020,2216,-16088,648,1,A
1781598746020,2180,-16068,372,1,A
1781598746020,2316,-16136,392,1,A
1781598746021,2240,-16088,356,1,A
1781598746021,2244,-16068,436,1,A
1781598746022,2284,-16076,360,1,A
1781598746022,2168,-16076,280,1,A
1781598746022,2088,-16108,404,1,A
1781598746022,2184,-16048,304,1,A
1781598746023,2256,-15996,556,1,A
1781598746023,2132,-16096,528,1,A
1781598746024,2484,-16084,272,1,A
1781598746043,2296,-16156,344,1,A
1781598746064,2176,-16140,560,1,A
1781598746085,2040,-16012,592,1,A
1781598746107,1972,-16060,576,1,A
1781598746129,2408,-15900,184,1,A
1781598746150,2304,-16176,408,1,A
1781598746171,2080,-16092,520,1,A
1781598746193,2228,-16124,484,1,A
1781598746215,2168,-16240,480,1,A
1781598746236,2220,-16148,428,1,A
1781598746257,2276,-16048,448,1,A
1781598746279,2272,-16028,348,1,A
1781598746301,2212,-16104,400,1,A
1781598746323,2176,-16128,412,1,A
1781598746345,2224,-16168,420,1,A
1781598746366,2216,-16120,388,1,A
1781598746387,2092,-16148,584,1,A
1781598746409,2332,-16148,516,1,A
1781598746430,2360,-16164,356,1,A
1781598746452,2144,-16160,360,1,A
1781598746474,1692,-15960,600,1,A
1781598746496,2164,-16156,416,1,A
1781598746518,2300,-16072,348,1,A
1781598746538,2276,-16012,308,1,A
1781598746561,2252,-16116,520,1,A
1781598746582,2096,-16108,696,1,A
1781598746604,2216,-16096,408,1,A
