timestamp,ax,ay,az,label,subject_id
1781611458239,4968,-6536,-18828,4,A
1781611458261,3832,-4552,-19936,4,A
1781611458283,3016,-2400,-16092,4,A
1781611458304,1684,416,-6732,4,A
1781611458326,-14544,29772,16924,4,A
1781611458347,-27180,32767,27716,4,A
1781611458369,-12320,32767,24316,4,A
1781611458391,-4128,30916,18320,4,A
1781611458412,-1784,13172,6368,4,A
1781611458434,1836,3940,-928,4,A
1781611458456,-184,5736,-4892,4,A
1781611458477,2228,920,-9308,4,A
1781611458499,2696,2192,-11484,4,A
1781611458521,3792,1580,-13892,4,A
1781611458542,2164,5252,-8304,4,A
1781611458564,-3048,12616,5160,4,A
1781611458586,-16748,32767,26856,4,A
1781611458607,-16560,32767,28392,4,A
1781611458628,-5896,30376,19108,4,A
1781611458651,-1772,16544,10056,4,A
1781611458672,1680,5756,-1100,4,A
1781611458694,5532,-4492,-14436,4,A
1781611458715,5016,-6160,-20952,4,A
1781611458737,3408,-4000,-20108,4,A
1781611458758,988,208,-13524,4,A
1781611458779,-1052,5196,-1132,4,A
1781611458802,-10924,32096,24452,4,A
1781611458824,-17908,32767,32767,4,A
1781611458845,-10688,32767,25444,4,A
1781611458866,-4764,26952,14004,4,A
1781611458888,-1508,14536,5424,4,A
1781611458909,-416,5756,-3680,4,A
1781611458932,2228,-964,-11760,4,A
1781611458953,3156,-3136,-15688,4,A
1781611458974,3244,-3580,-17480,4,A
1781611458996,1224,-2304,-14524,4,A
1781611459018,-1460,3788,-2008,4,A
1781611459039,-8780,22688,19312,4,A
1781611459061,-13820,32767,32767,4,A
1781611459083,-9528,32767,32020,4,A
1781611459104,-5008,31312,19640,4,A
1781611459126,-2764,18164,9668,4,A
1781611459146,820,7564,-316,4,A
1781611459169,2620,-1544,-13180,4,A
1781611459191,2360,-1796,-16760,4,A
1781611459212,3560,-5492,-21080,4,A
1781611459234,3156,-4916,-17148,4,A
1781611459255,2676,-2800,-7648,4,A
1781611459276,-2748,12492,8912,4,A
1781611459299,-14064,32767,28792,4,A
1781611459321,-15780,32767,32767,4,A
1781611459343,-4768,32767,27004,4,A
1781611459363,-2552,23280,12380,4,A
1781611459385,-220,10612,3672,4,A
1781611459407,-1872,7160,-2936,4,A
1781611459428,1360,1680,-9796,4,A
1781611459451,3520,-3660,-16576,4,A
1781611459472,3848,-5972,-20400,4,A
1781611459494,1584,-1596,-15644,4,A
1781611459515,-992,2136,-6640,4,A
1781611459537,-9380,20024,15096,4,A
1781611459558,-17732,32767,32767,4,A
1781611459581,-10976,32767,31912,4,A
1781611459602,-4592,32767,20108,4,A
1781611459623,156,16784,9580,4,A
1781611459645,2256,7712,2816,4,A
1781611459667,4092,1464,-5312,4,A
1781611459688,4880,-3712,-14284,4,A
1781611459710,1188,-5256,-20320,4,A
1781611459731,-312,-1428,-15428,4,A
1781611459752,-1760,1944,-9976,4,A
1781611459774,-4344,7524,2996,4,A
1781611459796,-14400,32767,28516,4,A
1781611459818,-24852,32767,32767,4,A
1781611459839,-932,32767,23064,4,A
1781611459861,-912,20828,15036,4,A
1781611459882,2080,11068,5072,4,A
1781611459904,268,4120,-9772,4,A
1781611459926,-1420,-580,-17984,4,A
1781611459947,1224,-4696,-18900,4,A
1781611459969,1124,-1928,-17092,4,A
1781611459991,1996,1280,-12832,4,A
1781611460012,1544,3800,-2980,4,A
1781611460034,-3344,17176,20036,4,A
1781611460056,-16600,32767,32767,4,A
1781611460078,-14180,32767,27880,4,A
1781611460099,-5092,31288,19644,4,A
1781611460120,-2104,13868,8892,4,A
1781611460142,708,908,-6488,4,A
1781611460163,984,-5148,-19420,4,A
1781611460186,3312,-7204,-21708,4,A
1781611460206,5332,-8804,-21132,4,A
1781611460229,2516,-544,-7376,4,A
1781611460251,-5168,12860,9764,4,A
1781611460272,-17708,32767,32767,4,A
1781611460293,-24212,32767,32767,4,A
1781611460315,-6624,29952,17720,4,A
1781611460336,-1288,8920,5716,4,A
1781611460358,4720,-4576,-5580,4,A
1781611460379,5244,-7064,-18968,4,A
1781611460401,5704,-10632,-24728,4,A
1781611460423,5492,-10304,-23080,4,A
1781611460444,240,-4384,-10532,4,A
1781611460465,-7044,9496,8152,4,A
1781611460488,-24520,32767,32767,4,A
1781611460509,-26104,32767,32767,4,A
1781611460531,-7668,32767,21540,4,A
1781611460553,-2856,16576,11480,4,A
1781611460574,-716,7136,1504,4,A
1781611460596,2556,972,-7296,4,A
1781611460619,5388,-6332,-15744,4,A
1781611460639,7704,-9448,-19144,4,A
1781611460662,5212,-4824,-15552,4,A
1781611460683,-544,3204,-3984,4,A
1781611460705,-16336,29400,17088,4,A
1781611460727,-31772,32767,32767,4,A
1781611460748,-20600,32767,28208,4,A
1781611460769,-7740,21688,14388,4,A
1781611460791,-1248,7544,3152,4,A
1781611460813,4892,-3988,-6884,4,A
1781611460834,9380,-9124,-19264,4,A
1781611460856,9480,-14108,-28068,4,A
1781611460878,7344,-11368,-22580,4,A
1781611460899,-56,-2244,-6496,4,A
1781611460921,-12440,21692,16408,4,A
1781611460943,-25556,32767,29876,4,A
1781611460965,-20796,32767,32767,4,A
1781611460986,-12436,32767,23896,4,A
1781611461007,-5140,15672,9024,4,A
1781611461029,2736,3452,-756,4,A
1781611461050,6104,-4924,-12396,4,A
1781611461072,7472,-10204,-22976,4,A
