timestamp,ax,ay,az,label,subject_id
1781599086513,-2240,-16296,-2600,5,A
1781599086514,-2256,-16620,-2912,5,A
1781599086515,-1884,-16760,-3164,5,A
1781599086516,-2392,-16488,-2592,5,A
1781599086517,-2304,-16320,-2520,5,A
1781599086518,-2204,-16092,-2512,5,A
1781599086519,-1716,-15604,-3080,5,A
1781599086520,-1968,-15532,-2760,5,A
1781599086521,-1920,-15860,-2420,5,A
1781599086521,-2220,-16476,-1744,5,A
1781599086522,-2276,-16672,-1528,5,A
1781599086522,-2076,-16548,-1688,5,A
1781599086523,-2256,-16656,-1516,5,A
1781599086524,-2536,-17388,-1508,5,A
1781599086524,-2060,-18192,-2384,5,A
1781599086525,-1308,-18932,-3280,5,A
1781599086526,-2420,-16896,-2664,5,A
1781599086527,-3048,-15980,-1884,5,A
1781599086528,-1356,-13816,-2932,5,A
1781599086528,-736,-12048,-2412,5,A
1781599086529,1128,-12416,-3500,5,A
1781599086529,2048,-12632,-3412,5,A
1781599086530,4104,-10152,-4420,5,A
1781599086531,4656,-6144,-3936,5,A
1781599086531,2124,-9004,3116,5,A
1781599086532,-2060,-15212,6748,5,A
1781599086532,-8556,-23268,10216,5,A
1781599086534,-8368,-32768,4964,5,A
1781599086534,-4616,-32768,-2236,5,A
1781599086535,-12024,-29664,2616,5,A
1781599086535,-12824,-11756,5304,5,A
1781599086536,-6408,-5576,1700,5,A
1781599086536,-1608,-7064,-1316,5,A
1781599086537,1592,-8404,-3120,5,A
1781599086537,860,-8552,-1564,5,A
1781599086538,-1280,-8300,-240,5,A
1781599086539,-1032,-10080,116,5,A
1781599086539,-184,-10160,-1216,5,A
1781599086540,-476,-13404,-1568,5,A
1781599086540,-2648,-18068,-64,5,A
1781599086541,-4512,-20016,1836,5,A
1781599086541,-10024,-20412,6620,5,A
1781599086541,-12508,-21616,10780,5,A
1781599086542,-6152,-23620,7220,5,A
1781599086543,-1768,-22712,4392,5,A
1781599086544,-332,-20644,1932,5,A
1781599086545,-3560,-18460,3784,5,A
1781599086545,-4452,-15144,4636,5,A
1781599086546,-3784,-11044,3760,5,A
1781599086547,-2304,-10532,2564,5,A
1781599086547,-688,-10524,1728,5,A
1781599086548,-1184,-12404,2804,5,A
1781599086549,-608,-11392,2480,5,A
1781599086550,-1924,-10836,3828,5,A
1781599086550,-328,-11488,492,5,A
1781599086551,5772,-20200,-5496,5,A
1781599086552,8708,-26868,-7024,5,A
1781599086552,540,-19724,-444,5,A
1781599086554,-8948,-11552,7448,5,A
1781599086554,-11436,-12356,11948,5,A
1781599086555,-4904,-16396,7596,5,A
1781599086556,836,-22432,2108,5,A
1781599086556,3508,-25116,-2104,5,A
1781599086557,872,-20444,-2332,5,A
1781599086557,-4732,-13908,1052,5,A
1781599086558,-6864,-8000,2564,5,A
1781599086559,-6680,-6588,2844,5,A
1781599086559,-5124,-9508,2592,5,A
1781599086560,-2104,-13972,1484,5,A
1781599086560,-296,-18260,1164,5,A
1781599086561,916,-19312,708,5,A
1781599086561,2548,-14608,-1780,5,A
1781599086562,920,-13516,-2656,5,A
1781599086563,512,-15932,-3724,5,A
1781599086563,-2384,-18052,-1432,5,A
1781599086564,-10788,-19728,6768,5,A
1781599086565,-9036,-20580,6884,5,A
1781599086566,-2104,-21504,2284,5,A
1781599086566,4600,-22020,-2644,5,A
1781599086567,3972,-21656,-1264,5,A
1781599086568,-2468,-18720,3884,5,A
1781599086569,-3216,-12972,3104,5,A
1781599086569,-2044,-9988,1904,5,A
1781599086570,16,-8392,-140,5,A
1781599086570,1352,-8964,-1568,5,A
1781599086572,792,-9428,-968,5,A
1781599086572,276,-7440,-456,5,A
1781599086572,3880,-596,-5476,5,A
1781599086573,856,-9312,-5188,5,A
