timestamp,ax,ay,az,label,subject_id
1781599008644,308,-16060,684,3,A
1781599008646,296,-16292,768,3,A
1781599008646,20,-16408,1380,3,A
1781599008648,608,-16128,792,3,A
1781599008649,576,-16144,892,3,A
1781599008651,388,-16312,1040,3,A
1781599008652,296,-16504,920,3,A
1781599008653,60,-16404,776,3,A
1781599008654,-112,-16264,804,3,A
1781599008655,-372,-16116,1024,3,A
1781599008657,-156,-16132,896,3,A
1781599008661,172,-16428,880,3,A
1781599008669,428,-16312,604,3,A
1781599008681,520,-16440,384,3,A
1781599008715,-24,-16464,808,3,A
1781599008733,212,-16344,400,3,A
1781599008738,480,-16364,244,3,A
1781599008745,288,-16500,512,3,A
1781599008748,628,-15708,688,3,A
1781599008750,500,-16520,488,3,A
1781599008752,788,-16840,48,3,A
1781599008753,1068,-16144,-156,3,A
1781599008754,1044,-16164,-160,3,A
1781599008754,1780,-15552,-676,3,A
1781599008754,2164,-16232,-428,3,A
1781599008754,1272,-15724,960,3,A
1781599008754,944,-15476,1852,3,A
1781599008755,588,-14652,1916,3,A
1781599008755,-40,-15636,1824,3,A
1781599008755,-1144,-17276,2012,3,A
1781599008755,-1468,-18272,1732,3,A
1781599008756,-748,-18804,1000,3,A
1781599008756,-1756,-17372,1728,3,A
1781599008756,-2280,-15824,2108,3,A
1781599008756,-2152,-14764,2388,3,A
1781599008757,-884,-15064,2188,3,A
1781599008757,844,-15324,1904,3,A
1781599008757,1480,-16496,2252,3,A
1781599008758,1152,-18176,2744,3,A
1781599008758,492,-16824,2108,3,A
1781599008759,156,-14800,224,3,A
1781599008759,284,-16172,-1844,3,A
1781599008759,908,-19816,-3836,3,A
1781599008759,6600,-20520,-7864,3,A
1781599008760,4632,-14420,-4812,3,A
1781599008760,-1244,-9672,728,3,A
1781599008760,-6904,-5948,4284,3,A
1781599008760,-7884,-9208,7156,3,A
1781599008760,-6672,-14192,6476,3,A
1781599008760,676,-20540,1332,3,A
1781599008762,5652,-22868,-2084,3,A
1781599008762,6036,-23992,-780,3,A
1781599008762,2532,-20344,2336,3,A
1781599008762,-516,-14556,3528,3,A
1781599008763,-1328,-12344,3640,3,A
1781599008763,-524,-14592,2484,3,A
1781599008763,1072,-16568,944,3,A
1781599008764,936,-16972,1020,3,A
1781599008764,-788,-16712,2132,3,A
1781599008764,-2128,-16524,3364,3,A
1781599008765,-2064,-17212,3540,3,A
1781599008765,-1292,-16952,3164,3,A
1781599008765,220,-16048,1972,3,A
1781599008766,720,-15356,1192,3,A
1781599008766,260,-16168,624,3,A
1781599008766,-268,-16960,-136,3,A
1781599008766,-1972,-19312,-416,3,A
1781599008766,3264,-20688,-5028,3,A
1781599008766,2148,-16904,-3908,3,A
1781599008767,-2324,-12008,124,3,A
1781599008767,-5004,-8492,3620,3,A
1781599008767,-4640,-8272,4036,3,A
1781599008767,-3128,-11720,3280,3,A
1781599008767,764,-17308,1180,3,A
1781599008767,2500,-18636,-260,3,A
1781599008767,1468,-18864,212,3,A
1781599008767,-112,-19076,1340,3,A
1781599008767,-1488,-18452,2512,3,A
1781599008768,-2196,-17988,3072,3,A
1781599008768,-2380,-18640,3764,3,A
1781599008768,-2040,-18540,3700,3,A
1781599008768,-1424,-16108,3108,3,A
1781599008768,-1320,-14152,2984,3,A
1781599008768,-408,-13644,2048,3,A
1781599008768,1168,-14532,1032,3,A
1781599008768,1452,-16036,1612,3,A
1781599008768,808,-16968,2456,3,A
1781599008769,192,-17048,2792,3,A
1781599008769,188,-16952,2484,3,A
1781599008769,-484,-16400,2332,3,A
1781599008769,-464,-17488,764,3,A
1781599008769,4604,-20592,-3816,3,A
1781599008769,6920,-19476,-4408,3,A
1781599008769,1436,-14856,120,3,A
1781599008769,-2832,-10560,2984,3,A
1781599008769,-2528,-10816,2412,3,A
1781599008771,1292,-12712,-888,3,A
1781599008771,3108,-15372,-2604,3,A
1781599008771,952,-17728,-784,3,A
1781599008789,-2220,-18532,964,3,A
1781599008811,-4156,-18168,1604,3,A
1781599008831,-3400,-16904,452,3,A
1781599008854,-3788,-16056,1272,3,A
1781599008876,-4716,-14980,3060,3,A
1781599008897,-2660,-14796,3088,3,A
1781599008918,400,-16268,2320,3,A
1781599008941,2668,-16808,2356,3,A
1781599008962,3220,-17812,2336,3,A
1781599008984,2780,-17896,1836,3,A
1781599009005,-24,-16864,2772,3,A
1781599009026,-1208,-16276,1996,3,A
1781599009048,-1876,-15988,1224,3,A
1781599009070,-2336,-15740,1168,3,A
1781599009092,-2556,-15752,1568,3,A
1781599009113,-2060,-15364,1312,3,A
1781599009135,-1704,-15412,1392,3,A
1781599009157,-2304,-16568,2216,3,A
1781599009178,-1260,-18764,644,3,A
1781599009200,4172,-21708,-4092,3,A
1781599009222,3400,-18044,-3412,3,A
1781599009243,-2328,-13400,944,3,A
1781599009264,-4672,-11668,3104,3,A
1781599009286,-4048,-12052,2604,3,A
1781599009307,-520,-14456,-196,3,A
1781599009330,2332,-15488,-1316,3,A
1781599009351,2932,-14796,-960,3,A
1781599009372,1704,-15324,1768,3,A
1781599009393,352,-16844,4108,3,A
1781599009415,972,-19024,3852,3,A
1781599009437,2736,-20876,1248,3,A
1781599009458,2288,-21736,-56,3,A
1781599009480,-68,-20432,296,3,A
1781599009503,-2444,-16976,1052,3,A
1781599009523,-3408,-13184,1280,3,A
1781599009545,-2872,-11552,1404,3,A
1781599009567,-1832,-11984,1688,3,A
1781599009588,-208,-14428,1836,3,A
1781599009610,100,-16840,3356,3,A
1781599009631,1992,-19048,1544,3,A
1781599009653,5224,-18244,-864,3,A
1781599009674,4384,-15832,204,3,A
1781599009696,-1828,-16868,5324,3,A
1781599009719,-1172,-19244,3936,3,A
1781599009740,6864,-21140,-4332,3,A
1781599009761,9236,-19012,-6204,3,A
1781599009784,1188,-13832,-952,3,A
1781599009806,-5080,-10540,3420,3,A
1781599009827,-4556,-9080,1952,3,A
1781599009847,-1416,-10256,-1796,3,A
1781599009870,1308,-16416,-3028,3,A
1781599009891,-3452,-18792,1368,3,A
1781599009912,-8432,-18100,6108,3,A
1781599009934,-3820,-18708,2848,3,A
1781599009956,280,-19156,-120,3,A
1781599009978,692,-17796,64,3,A
1781599009999,-2440,-16196,3244,3,A
1781599010021,-2808,-15212,3860,3,A
1781599010042,-416,-15032,1700,3,A
1781599010064,-968,-15260,1908,3,A
1781599010085,1204,-15952,184,3,A
1781599010107,464,-16796,1156,3,A
1781599010129,-1692,-17908,3256,3,A
1781599010150,-2500,-17840,3152,3,A
1781599010173,-1716,-16916,1456,3,A
1781599010194,-72,-15540,-756,3,A
1781599010215,-1196,-14980,536,3,A
1781599010237,-2820,-15176,2112,3,A
1781599010259,-1224,-16480,796,3,A
1781599010280,1704,-18424,-1400,3,A
1781599010302,1104,-18676,-1316,3,A
1781599010323,24,-17424,-580,3,A
1781599010345,-656,-15528,-16,3,A
1781599010367,-3236,-13224,2220,3,A
1781599010388,-4528,-11792,2736,3,A
1781599010410,-480,-14096,-232,3,A
1781599010431,1704,-15900,-716,3,A
1781599010453,1344,-15940,436,3,A
1781599010474,1004,-15620,1320,3,A
1781599010496,1468,-16012,1292,3,A
1781599010518,3740,-16504,-276,3,A
1781599010540,2708,-16748,680,3,A
1781599010561,-116,-17084,3144,3,A
1781599010582,-1964,-17864,3612,3,A
1781599010604,388,-19176,880,3,A
1781599010625,300,-18328,724,3,A
1781599010648,-2504,-16496,2644,3,A
