1781596514.8516283,-1048,-16280,1528
1781596514.8521376,-1288,-16120,1904
1781596514.8531425,-968,-15988,1604
1781596514.8546038,-1028,-16404,1204
1781596514.8546038,-572,-16388,1008
1781596514.8561075,-760,-16408,1024
1781596514.857115,-1024,-16212,1136
1781596514.8581154,-940,-15908,1652
1781596514.8581154,-1044,-16304,1596
1781596514.8591158,-892,-16264,1332
1781596514.8591158,-1420,-16552,1556
1781596514.8605638,-960,-16116,1672
1781596514.8615716,-628,-16072,1364
1781596514.8615716,-240,-16032,1412
1781596514.8630285,-340,-16312,960
1781596514.8630285,-696,-16360,1252
1781596514.8630285,-796,-16540,1276
1781596514.8630285,-620,-15944,1472
1781596514.8644583,-828,-16312,1344
1781596514.8656845,-500,-16784,688
1781596514.8656845,-572,-16788,680
1781596514.866844,-396,-16048,1152
1781596514.866844,-388,-15476,1688
1781596514.867862,-768,-15632,2036
1781596514.867862,-676,-15764,2016
1781596514.867862,-892,-16308,1760
1781596514.8688571,-1216,-16236,1644
1781596514.8688571,-956,-16276,1552
1781596514.8688571,-312,-15948,1640
1781596514.869856,-116,-16100,1540
1781596514.869856,184,-16156,1420
1781596514.869856,-220,-16124,1356
1781596514.869856,-812,-16428,968
1781596514.869856,-676,-16528,964
1781596514.8713753,-892,-16336,1248
1781596514.8713753,-712,-16184,1432
1781596514.8713753,-664,-16384,1144
1781596514.8713753,-860,-16424,1224
1781596514.872387,-836,-16124,1664
1781596514.872387,-540,-15956,1648
1781596514.872387,-468,-16424,1472
1781596514.872387,-92,-16140,1628
1781596514.8734057,-508,-16240,1648
1781596514.8734057,-836,-16388,1708
1781596514.8734057,-788,-16352,1568
1781596514.8734057,-260,-16164,1460
1781596514.8734057,-316,-16320,1352
1781596514.8743858,-476,-16272,1348
1781596514.8743858,-408,-16356,1188
1781596514.8743858,-900,-16516,1324
1781596514.8743858,-440,-16288,1136
1781596514.875386,984,-15960,588
1781596514.875386,776,-16476,488
1781596514.875386,-236,-16004,1808
1781596514.875386,-924,-15904,2464
1781596514.875386,-1560,-16192,2560
1781596514.876394,-2124,-15916,2888
1781596514.876394,-2268,-16408,2516
1781596514.876394,-1448,-16364,2144
1781596514.876394,-980,-16364,1916
1781596514.876394,-600,-16408,1532
1781596514.876394,-36,-15652,1740
1781596514.8773916,-308,-16060,1624
1781596514.8773916,-52,-16132,1528
1781596514.8773916,-76,-16296,1564
1781596514.8773916,-636,-16432,1680
1781596514.8773916,-608,-16004,1768
1781596514.8773916,-668,-16384,1500
1781596514.8783853,-1068,-16372,1524
1781596514.8783853,-952,-16196,1740
1781596514.8783853,-892,-16300,1836
1781596514.8783853,-536,-16116,1748
1781596514.8783853,-608,-16464,1464
1781596514.8783853,-212,-16300,1312
1781596514.8783853,-436,-16060,1832
1781596514.879395,-544,-16256,1628
1781596514.879395,-656,-16396,1652
1781596514.8800948,-408,-16260,1460
1781596514.8806016,-292,-16476,1252
1781596514.8806016,-460,-16556,1108
1781596514.8806016,-660,-16216,1804
1781596514.8816376,-732,-16028,2156
1781596514.8816376,-716,-15884,2160
1781596514.8816376,-1200,-15980,2200
1781596514.8826554,-900,-16124,1772
1781596514.8826554,-564,-16140,1696
1781596514.8826554,-288,-15968,1856
1781596514.8826554,-672,-16176,1832
1781596514.8826554,-552,-16152,1776
1781596514.8826554,-300,-16096,1476
1781596514.8826554,-632,-16536,1356
1781596514.8836672,-328,-16308,1572
1781596514.8836672,-524,-16128,1628
1781596514.8836672,-676,-16268,1604
1781596514.8836672,-556,-16344,1540
1781596514.896697,-764,-16476,1560
1781596514.9181206,-660,-16132,1780
1781596514.9390059,-412,-16016,1796
1781596514.961597,-588,-16220,1644
1781596514.9832678,-912,-16488,1712
1781596515.004441,-744,-16304,1588
1781596515.0261257,-432,-16092,1424
1781596515.0478535,-360,-16048,1484
1781596515.069366,-744,-16292,1600
1781596515.0906394,-888,-16508,1544
1781596515.1138675,-628,-16504,1612
1781596515.1338825,-312,-16068,1548
1781596515.1557224,-196,-16128,1488
1781596515.1777725,-788,-15868,2076
1781596515.1988943,-1348,-16192,2120
1781596515.2198873,-1392,-16288,2020
1781596515.2427042,-940,-16196,1828
1781596515.264543,-484,-16180,1644
1781596515.2858,-308,-16320,1512
1781596515.3065991,-608,-16228,1900
1781596515.3284292,-1308,-16016,2092
1781596515.3503594,-848,-16196,2084
1781596515.3716795,-1124,-16388,1808
1781596515.3937426,-744,-16116,1872
1781596515.4150853,-552,-16484,1460
1781596515.4365354,-444,-15648,2048
1781596515.4582975,-480,-16356,1748
