1781596485.567157,-15980,944,-712
1781596485.567157,-16008,844,-716
1781596485.567157,-16272,616,-780
1781596485.5686684,-16696,1036,-760
1781596485.5686684,-16636,2344,-332
1781596485.5686684,-16912,2012,-472
1781596485.569752,-17120,808,-848
1781596485.569752,-16492,856,-724
1781596485.569752,-16152,1584,-400
1781596485.571259,-16512,1724,-272
1781596485.571259,-16820,784,-712
1781596485.571259,-16980,876,-760
1781596485.5722675,-16396,1572,-328
1781596485.5722675,-16348,1644,-196
1781596485.5722675,-16688,1672,-200
1781596485.573269,-16440,1208,-540
1781596485.5742693,-16440,864,-576
1781596485.5742693,-16896,832,-772
1781596485.576296,-16896,1532,-484
1781596485.5782728,-17128,1148,-668
1781596485.5782728,-16836,960,-624
1781596485.5792677,-16344,820,-648
1781596485.5792677,-16804,1656,4
1781596485.5802758,-16720,1928,36
1781596485.5802758,-16992,920,-372
1781596485.5802758,-16668,40,-944
1781596485.5812664,-16968,612,-680
1781596485.5812664,-16496,1672,-200
1781596485.5812664,-16528,1756,-8
1781596485.5812664,-16644,796,-436
1781596485.5823154,-16584,560,-508
1781596485.5823154,-16060,928,-456
1781596485.5836241,-16392,1552,-112
1781596485.5836241,-16468,1148,-300
1781596485.5836241,-16448,460,-584
1781596485.5846334,-16504,332,-384
1781596485.5846334,-16740,1072,-340
1781596485.5846334,-16824,1232,-188
1781596485.5856307,-16768,972,-232
1781596485.5856307,-16768,500,-564
1781596485.5856307,-16412,620,-348
1781596485.5866337,-16412,1100,-164
1781596485.5866337,-16060,816,-332
1781596485.5866337,-16288,548,-536
1781596485.5866337,-16384,380,-756
1781596485.5876417,-16828,380,-812
1781596485.5876417,-17220,596,-712
1781596485.5876417,-17808,448,-804
1781596485.5886452,-17248,416,-704
1781596485.5886452,-16368,980,-384
1781596485.5886452,-16692,1352,32
1781596485.589638,-16596,980,-208
1781596485.589638,-16956,584,-360
1781596485.589638,-16888,420,-640
1781596485.5906386,-16932,836,-480
1781596485.5906386,-16992,836,-508
1781596485.5906386,-17008,188,-716
1781596485.591638,-15992,352,-588
1781596485.5921628,-16188,440,-280
1781596485.5921628,-16280,700,-100
1781596485.5921628,-16404,432,-196
1781596485.5921628,-17028,-188,-488
1781596485.5931563,-17292,128,-320
1781596485.5931563,-16784,1648,520
1781596485.5931563,-16492,1168,268
1781596485.5941691,-16508,484,300
1781596485.5941691,-16784,188,-48
1781596485.5941691,-16600,912,132
1781596485.5951583,-16716,1236,440
1781596485.5951583,-16768,588,324
1781596485.5951583,-16532,164,-104
1781596485.5951583,-16696,644,48
1781596485.5951583,-16988,788,144
1781596485.5961616,-16772,568,52
1781596485.5961616,-16392,372,-56
1781596485.5961616,-16320,516,144
1781596485.5961616,-16592,284,-64
1781596485.5971596,-16620,244,44
1781596485.5971596,-16472,532,8
1781596485.5971596,-17000,828,56
1781596485.5971596,-17076,424,116
1781596485.598166,-16608,508,292
1781596485.598166,-16260,812,308
1781596485.598166,-16744,1024,420
1781596485.598166,-16872,624,100
1781596485.598166,-16988,268,20
